tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,34185,1000000000000,1000000000000,False
1000000000000,37035,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58515,True
33724,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,34915,1000000000000,False
1000000000000,39314,1000000000000,1000000000000,False
1000000000000,42858,1000000000000,1000000000000,False
1000000000000,40273,1000000000000,1000000000000,False
1000000000000,1000000000000,43638,1000000000000,False
1000000000000,41483,1000000000000,1000000000000,False
1000000000000,1000000000000,39900,1000000000000,False
35887,1000000000000,1000000000000,1000000000000,True
1000000000000,42076,1000000000000,1000000000000,False
34625,1000000000000,1000000000000,1000000000000,True
1000000000000,37867,1000000000000,1000000000000,False
1000000000000,45132,1000000000000,1000000000000,False
54324,1000000000000,1000000000000,1000000000000,True
1000000000000,43466,1000000000000,1000000000000,False
38319,1000000000000,1000000000000,1000000000000,True
53300,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40707,1000000000000,False
1000000000000,1000000000000,42076,1000000000000,False
36863,1000000000000,1000000000000,1000000000000,True
52159,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,38322,1000000000000,False
51419,1000000000000,1000000000000,1000000000000,True
1000000000000,38428,1000000000000,1000000000000,False
1000000000000,1000000000000,42593,1000000000000,False
1000000000000,1000000000000,1000000000000,58744,True
1000000000000,1000000000000,41220,1000000000000,False
1000000000000,1000000000000,45267,1000000000000,False
37512,1000000000000,1000000000000,1000000000000,True
57230,1000000000000,1000000000000,1000000000000,True
40262,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45405,False
1000000000000,1000000000000,1000000000000,46420,False
1000000000000,1000000000000,1000000000000,46307,False
1000000000000,1000000000000,1000000000000,46892,False
1000000000000,1000000000000,1000000000000,47546,False
1000000000000,1000000000000,1000000000000,47895,False
1000000000000,1000000000000,1000000000000,47176,False
1000000000000,1000000000000,1000000000000,48459,False
38877,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48003,False
56418,1000000000000,1000000000000,1000000000000,True
54936,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48017,False
45806,1000000000000,1000000000000,1000000000000,True
1000000000000,49703,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48515,False
1000000000000,1000000000000,1000000000000,48660,False
1000000000000,1000000000000,1000000000000,48726,False
1000000000000,47149,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48966,False
1000000000000,48127,1000000000000,1000000000000,False
1000000000000,1000000000000,48929,1000000000000,False
46931,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50275,1000000000000,False
1000000000000,1000000000000,1000000000000,49726,False
40766,1000000000000,1000000000000,1000000000000,True
41528,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50156,False
51149,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49838,False
57558,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59637,True
1000000000000,1000000000000,1000000000000,59639,True
1000000000000,51550,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50577,False
1000000000000,1000000000000,1000000000000,50775,False
1000000000000,51247,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50293,False
42637,1000000000000,1000000000000,1000000000000,True
48978,1000000000000,1000000000000,1000000000000,True
47859,1000000000000,1000000000000,1000000000000,True
43894,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48502,1000000000000,False
1000000000000,1000000000000,1000000000000,52381,False
48605,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51961,False
1000000000000,49909,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52698,False
1000000000000,1000000000000,1000000000000,59382,True
1000000000000,1000000000000,1000000000000,52791,False
1000000000000,1000000000000,1000000000000,52347,False
1000000000000,1000000000000,1000000000000,52019,False
1000000000000,48594,1000000000000,1000000000000,False
1000000000000,1000000000000,54100,1000000000000,False
51783,1000000000000,1000000000000,1000000000000,True
50554,1000000000000,1000000000000,1000000000000,True
1000000000000,49083,1000000000000,1000000000000,False
1000000000000,1000000000000,51412,1000000000000,False
1000000000000,1000000000000,1000000000000,54419,False
1000000000000,1000000000000,1000000000000,53636,False
44739,1000000000000,1000000000000,1000000000000,True
50206,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53484,False
1000000000000,1000000000000,1000000000000,53924,False
1000000000000,47619,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54419,False
1000000000000,1000000000000,1000000000000,54511,False
56190,1000000000000,1000000000000,1000000000000,True
1000000000000,50756,1000000000000,1000000000000,False
1000000000000,1000000000000,49261,1000000000000,False
1000000000000,1000000000000,1000000000000,58400,True
1000000000000,1000000000000,1000000000000,53753,False
1000000000000,1000000000000,1000000000000,58964,True
1000000000000,1000000000000,1000000000000,54951,False
1000000000000,1000000000000,1000000000000,55043,False
1000000000000,1000000000000,1000000000000,55526,False
46065,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52537,1000000000000,False
1000000000000,1000000000000,1000000000000,55439,False
1000000000000,1000000000000,1000000000000,55700,False
1000000000000,1000000000000,50906,1000000000000,False
1000000000000,1000000000000,1000000000000,56230,False
1000000000000,1000000000000,1000000000000,56085,False
1000000000000,1000000000000,49496,1000000000000,False
1000000000000,1000000000000,1000000000000,59665,True
1000000000000,1000000000000,1000000000000,59396,True
1000000000000,1000000000000,51834,1000000000000,False
1000000000000,1000000000000,1000000000000,55844,False
1000000000000,1000000000000,57859,1000000000000,False
1000000000000,1000000000000,1000000000000,57596,False
1000000000000,1000000000000,1000000000000,56788,False
1000000000000,53942,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,57930,False
1000000000000,1000000000000,1000000000000,59424,True
1000000000000,1000000000000,1000000000000,57091,False
1000000000000,58387,1000000000000,1000000000000,False
1000000000000,56300,1000000000000,1000000000000,False
49640,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58166,False
1000000000000,1000000000000,1000000000000,59173,True
1000000000000,1000000000000,1000000000000,59203,True
1000000000000,1000000000000,1000000000000,59848,True
1000000000000,55459,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58652,False
1000000000000,1000000000000,59354,1000000000000,False
1000000000000,1000000000000,1000000000000,58507,False
1000000000000,1000000000000,1000000000000,59543,True
1000000000000,1000000000000,1000000000000,59010,False
1000000000000,57785,1000000000000,1000000000000,False
1000000000000,56685,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60521,True
1000000000000,1000000000000,57497,1000000000000,False
1000000000000,57255,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59669,False
1000000000000,1000000000000,1000000000000,59177,False
1000000000000,1000000000000,1000000000000,59146,True
1000000000000,1000000000000,1000000000000,59226,False
1000000000000,1000000000000,1000000000000,59079,False
1000000000000,1000000000000,58579,1000000000000,False
1000000000000,1000000000000,1000000000000,58553,False
1000000000000,1000000000000,1000000000000,59602,False
1000000000000,1000000000000,1000000000000,58966,True
1000000000000,1000000000000,58153,1000000000000,False
58393,1000000000000,1000000000000,1000000000000,True
1000000000000,54450,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58965,True
53750,1000000000000,1000000000000,1000000000000,True
1000000000000,54987,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59185,True
1000000000000,1000000000000,1000000000000,59507,False
1000000000000,1000000000000,1000000000000,58910,False
1000000000000,1000000000000,1000000000000,59350,False
1000000000000,1000000000000,1000000000000,58936,True
1000000000000,1000000000000,1000000000000,59238,True
1000000000000,1000000000000,1000000000000,58478,False
1000000000000,1000000000000,1000000000000,58837,True
52813,1000000000000,1000000000000,1000000000000,True
1000000000000,55699,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59302,True
1000000000000,1000000000000,1000000000000,60096,True
1000000000000,1000000000000,1000000000000,60320,False
1000000000000,1000000000000,1000000000000,58999,False
55694,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59565,True
59260,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59986,True
1000000000000,1000000000000,1000000000000,58895,False
1000000000000,1000000000000,1000000000000,59778,True
55161,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59947,True
1000000000000,1000000000000,1000000000000,59416,True
56927,1000000000000,1000000000000,1000000000000,True
58066,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59152,True
